Day_Index,Ridership
0,3298457.326530616
1,3356343.9908271856
2,3414230.6551237553
3,3472117.3194203246
4,3530003.9837168944
5,3587890.648013464
6,3645777.312310034
7,3703663.9766066037
8,3761550.6409031735
9,3819437.3051997432
10,3877323.9694963126
11,3935210.6337928823
12,3993097.298089452
13,4050983.962386022
14,4108870.6266825916
15,4166757.2909791614
16,4224643.955275731
17,4282530.6195723
18,4340417.283868871
19,4398303.94816544
20,4456190.61246201
21,4514077.27675858
22,4571963.941055149
23,4629850.605351719
24,4687737.269648288
25,4745623.933944859
26,4803510.598241428
27,4861397.262537997
28,4919283.926834567
29,4977170.591131137
30,5035057.255427707
31,5092943.919724276
32,5150830.584020846
33,5208717.248317416
34,5266603.912613985
35,5324490.576910555
36,5382377.241207125
37,5440263.905503694
38,5498150.569800264
39,5556037.234096834
40,5613923.898393404
41,5671810.562689973
42,5729697.226986542
43,5787583.891283113
44,5845470.555579683
45,5903357.219876252
46,5961243.884172821
47,6019130.548469392
48,6077017.212765961
49,6134903.877062531
50,6192790.5413591005
51,6250677.20565567
52,6308563.86995224
53,6366450.53424881
54,6424337.19854538
55,6482223.862841949
56,6540110.527138518
57,6597997.191435088
58,6655883.855731659
59,6713770.520028228
60,6771657.184324797
61,6829543.848621367
62,6887430.512917937
63,6945317.177214507
64,7003203.841511076
65,7061090.505807646
66,7118977.170104216
67,7176863.834400786
68,7234750.498697355
69,7292637.162993925
70,7350523.827290494
71,7408410.491587064
72,7466297.155883634
73,7524183.820180204
74,7582070.484476773
75,7639957.148773343
76,7697843.813069913
77,7755730.477366482
78,7813617.141663052
79,7871503.805959621
80,7929390.470256192
81,7987277.134552761
82,8045163.798849331
83,8103050.4631459005
84,8160937.12744247
85,8218823.79173904
86,8276710.456035609
87,8334597.12033218
88,8392483.784628749
89,8450370.44892532
90,8508257.113221887
91,8566143.777518459
92,8624030.441815028
93,8681917.106111597
94,8739803.770408168
95,8797690.434704736
96,8855577.099001307
97,8913463.763297876
98,8971350.427594446
99,9029237.091891017
100,9087123.756187584
101,9145010.420484155
102,9202897.084780725
103,9260783.749077294
104,9318670.413373865
105,9376557.077670433
106,9434443.741967004
107,9492330.406263573
108,9550217.070560142
109,9608103.734856714
110,9665990.399153281
111,9723877.063449852
112,9781763.727746421
113,9839650.39204299
114,9897537.056339562
115,9955423.720636131
116,10013310.3849327
117,10071197.04922927
118,10129083.71352584
119,10186970.37782241
120,10244857.04211898
121,10302743.706415549
122,10360630.370712118
123,10418517.035008688
124,10476403.699305259
125,10534290.363601828
126,10592177.027898397
127,10650063.692194968
128,10707950.356491536
129,10765837.020788107
130,10823723.685084676
131,10881610.349381246
132,10939497.013677817
133,10997383.677974384
134,11055270.342270955
135,11113157.006567525
136,11171043.670864094
137,11228930.335160665
138,11286816.999457233
139,11344703.663753804
140,11402590.328050373
141,11460476.992346942
142,11518363.656643514
143,11576250.320940081
144,11634136.985236652
145,11692023.649533223
146,11749910.31382979
147,11807796.978126362
148,11865683.64242293
149,11923570.3067195
150,11981456.971016072
151,12039343.63531264
152,12097230.29960921
153,12155116.963905778
154,12213003.628202349
155,12270890.29249892
156,12328776.956795488
157,12386663.621092059
158,12444550.285388626
159,12502436.949685197
160,12560323.613981768
161,12618210.278278336
162,12676096.942574907
163,12733983.606871475
164,12791870.271168046
165,12849756.935464617
166,12907643.599761184
167,12965530.264057755
168,13023416.928354323
169,13081303.592650894
170,13139190.256947465
171,13197076.921244033
172,13254963.585540604
173,13312850.249837171
174,13370736.914133742
175,13428623.578430314
176,13486510.242726881
177,13544396.907023452
178,13602283.571320023
179,13660170.23561659
180,13718056.899913162
181,13775943.56420973
182,13833830.2285063
183,13891716.892802872
184,13949603.55709944
185,14007490.22139601
186,14065376.885692578
187,14123263.549989149
188,14181150.21428572
189,14239036.878582288
190,14296923.542878859
191,14354810.207175426
192,14412696.871471997
193,14470583.535768569
194,14528470.200065136
195,14586356.864361707
196,14644243.528658275
197,14702130.192954846
198,14760016.857251417
199,14817903.521547984
200,14875790.185844555
201,14933676.850141123
202,14991563.514437694
203,15049450.178734265
204,15107336.843030833
205,15165223.507327404
206,15223110.171623971
