Date,Ridership
Jan 2019,5039976
Feb 2019,4449713
Mar 2019,5310528
Apr 2019,5387807
May 2019,5815991
Jun 2019,5548080
Jul 2019,5318235
Aug 2019,5369579
Sep 2019,5776656
Oct 2019,5996508
Nov 2019,5270831
Dec 2019,4991628
Jan 2020,5266400
Feb 2020,5060933
Mar 2020,4365548
Apr 2020,2487596
May 2020,2524205
Jun 2020,2874499
Jul 2020,3229859
Aug 2020,3302330
Sep 2020,3184193
Oct 2020,3420186
Nov 2020,2942441
Dec 2020,2743410
Jan 2021,2670344
Feb 2021,2302010
Mar 2021,2844828
Apr 2021,2889673
May 2021,2861499
Jun 2021,2942437
Jul 2021,3001672
Aug 2021,2792914
Sep 2021,3597254
Oct 2021,3691081
Nov 2021,3454585
Dec 2021,3542150
Jan 2022,2929134
Feb 2022,2973950
Mar 2022,3513609
Apr 2022,3413485
May 2022,3684682
Jun 2022,3447309
Jul 2022,3244494
Aug 2022,3448693
Sep 2022,4090235
Oct 2022,4236172
Nov 2022,3837337
Dec 2022,3744225
Jan 2023,3860423
Feb 2023,3448169
Mar 2023,3957961
Apr 2023,3653007
May 2023,4271223
Jun 2023,3942067
Jul 2023,3642510
Aug 2023,3962602
Sep 2023,4253234
Oct 2023,4494641
Nov 2023,4018215
Dec 2023,3885185
Jan 2024,3910256
Feb 2024,3492570
Mar 2024,3887689
Apr 2024,4204084
May 2024,4469415
Jun 2024,3817738
Jul 2024,3807316
Aug 2024,3911742
Sep 2024,4431384
Oct 2024,4879918
Nov 2024,4204719
Dec 2024,3969659
