Date,Ridership
Jan 2019,6699852
Feb 2019,6131159
Mar 2019,7242131
Apr 2019,7424666
May 2019,7829622
Jun 2019,7471299
Jul 2019,7423404
Aug 2019,7462460
Sep 2019,7787052
Oct 2019,8170442
Nov 2019,7125270
Dec 2019,6795203
Jan 2020,7709867
Feb 2020,7399800
Mar 2020,5739809
Apr 2020,2784174
May 2020,2816199
Jun 2020,3809184
Jul 2020,3912452
Aug 2020,3891766
Sep 2020,3815998
Oct 2020,4071459 
Nov 2020,3489555
Dec 2020,3660713
Jan 2021,3145426
Feb 2021,2734322
Mar 2021,3454278
Apr 2021,3234389
May 2021,3490377
Jun 2021,3559790
Jul 2021,3761938
Aug 2021,3755910
Sep 2021,4419155
Oct 2021,4588565
Nov 2021,4391686
Dec 2021,4374553
Jan 2022,3613584
Feb 2022,3672036
Mar 2022,4410333
Apr 2022,4327141
May 2022,4595246
Jun 2022,4406043
Jul 2022,4177972
Aug 2022,4529516
Sep 2022,3543931
Oct 2022,3860626
Nov 2022,4000811
Dec 2022,4765119
Jan 2023,4765119
Feb 2023,4295139
Mar 2023,4956425
Apr 2023,4710488
May 2023,5417942
Jun 2023,5011462
Jul 2023,4467442
Aug 2023,5105205
Sep 2023,5349769
Oct 2023,5618165
Nov 2023,5469175
Dec 2023,5049076
Jan 2024,5322268
Feb 2024,4992163
Mar 2024,5437130
Apr 2024,5807840
May 2024,6093573
Jun 2024,5519470
Jul 2024,5532709
Aug 2024,5692431
Sep 2024,6067631
Oct 2024,6752554
Nov 2024,5806746
Dec 2024,5569440
